dataset_id	source_url	repository_commit	path	entry_type	size_bytes	checksum	asset_class	availability	download_method	notes
GSE117548	https://github.com/boutroslab/Supp_BetgeRindtorff_2021/tree/1bfec50e1f8f8deb7bbaa40aa28315262dbb1c19	1bfec50e1f8f8deb7bbaa40aa28315262dbb1c19	.github	tree	NA	NA	WORKFLOW_METADATA	PUBLIC	GitHub web/API tree metadata	Workflow metadata directory; contents not enumerated in this registry gate.
GSE117548	https://github.com/boutroslab/Supp_BetgeRindtorff_2021/tree/1bfec50e1f8f8deb7bbaa40aa28315262dbb1c19	code	tree	NA	NA	CODE	PUBLIC	GitHub web/API tree metadata	Analysis code directory; no files downloaded.
GSE117548	https://github.com/boutroslab/Supp_BetgeRindtorff_2021/tree/1bfec50e1f8f8deb7bbaa40aa28315262dbb1c19	data	tree	NA	NA	POTENTIAL_DATA_AND_CODE	PUBLIC	GitHub web/API tree metadata	Contains repository data subtrees and requires a separate file-level review before staging.
GSE117548	https://github.com/boutroslab/Supp_BetgeRindtorff_2021/tree/1bfec50e1f8f8deb7bbaa40aa28315262dbb1c19	figures	tree	NA	NA	FIGURES	PUBLIC	GitHub web/API tree metadata	Figure assets; not treated as biological matrix.
GSE117548	https://github.com/boutroslab/Supp_BetgeRindtorff_2021/tree/1bfec50e1f8f8deb7bbaa40aa28315262dbb1c19	models	tree	NA	NA	MODELS	PUBLIC	GitHub web/API tree metadata	Model artifacts; exact files and sizes pending.
GSE117548	https://github.com/boutroslab/Supp_BetgeRindtorff_2021/tree/1bfec50e1f8f8deb7bbaa40aa28315262dbb1c19	notebooks	tree	NA	NA	CODE_AND_ANALYSIS	PUBLIC	GitHub web/API tree metadata	Reproducibility notebooks; no execution or download performed.
GSE117548	https://github.com/boutroslab/Supp_BetgeRindtorff_2021/tree/1bfec50e1f8f8deb7bbaa40aa28315262dbb1c19	references	tree	NA	NA	REFERENCES	PUBLIC	GitHub web/API tree metadata	Citation/reference assets.
GSE117548	https://github.com/boutroslab/Supp_BetgeRindtorff_2021/tree/1bfec50e1f8f8deb7bbaa40aa28315262dbb1c19	reports	tree	NA	NA	REPORTS	PUBLIC	GitHub web/API tree metadata	Generated reports; not assumed to be source data.
GSE117548	https://github.com/boutroslab/Supp_BetgeRindtorff_2021/tree/1bfec50e1f8f8deb7bbaa40aa28315262dbb1c19	tables	tree	NA	NA	POTENTIAL_DERIVED_DATA	PUBLIC	GitHub web/API tree metadata	Derived tables; exact file inventory pending.
GSE117548	https://github.com/boutroslab/Supp_BetgeRindtorff_2021/blob/1bfec50e1f8f8deb7bbaa40aa28315262dbb1c19/Dockerfile	1bfec50e1f8f8deb7bbaa40aa28315262dbb1c19	Dockerfile	blob	5572	NA	ENVIRONMENT_SPEC	PUBLIC	GitHub raw/web endpoint	Container build specification; no image pull performed.
GSE117548	https://github.com/boutroslab/Supp_BetgeRindtorff_2021/blob/1bfec50e1f8f8deb7bbaa40aa28315262dbb1c19/README.md	1bfec50e1f8f8deb7bbaa40aa28315262dbb1c19	README.md	blob	6767	NA	DOCUMENTATION	PUBLIC	GitHub raw/web endpoint	Repository README; reviewed for reproducibility and raw-data boundary.
GSE117548	https://github.com/boutroslab/Supp_BetgeRindtorff_2021/blob/1bfec50e1f8f8deb7bbaa40aa28315262dbb1c19/make_results.R	1bfec50e1f8f8deb7bbaa40aa28315262dbb1c19	make_results.R	blob	2087	NA	CODE	PUBLIC	GitHub raw/web endpoint	Top-level analysis script; no execution performed.
